#SampleID	Sample Accession	Sample Alias	Ecozone	Region	Site	Environmental Source	Phylogenetic Marker	Target Gene Subfragment	Collection Date	sampling_depth_m	elevation_m	mean_annual_temp_C	total_carbon	total_nitrogen	ph	cn_ratio	ph_category	cn_category	env_feature	env_material	total_organic_carb_percent	total_inorganic_carbon_percent	total_carbon_percent	soil_total_inorganic_nitrogen	soil_nitrogen_units	total_nitrogen_percent	cn_category_per_dataset
10156.1.fastq.gz	NA	NA	NA	NA	NA	Wetlands	NA	NA	NA	NA	316	NA	NA	NA	6.6	11.8248718153078	Neutral	Low	freshwater wetland	soil	4.3522999999999996	9.8599999999999993E-2	4.451	8.5383130119999997	ug N/g dry soil	0.37641	Low-Wetlands
10156.11.fastq.gz	NA	NA	NA	NA	NA	Wetlands	NA	NA	NA	NA	145.6	NA	NA	NA	6.82	10.1089091233708	Neutral	Low	freshwater wetland	soil	2.7339000000000002	9.6600000000000005E-2	2.831	91.159881150000004	ug N/g dry soil	0.28005	Low-Wetlands
10156.12.fastq.gz	NA	NA	NA	NA	NA	Wetlands	NA	NA	NA	NA	123.6	NA	NA	NA	7.18	11.053115356838	Neutral	Low	freshwater wetland	soil	3.0787	0.28860000000000002	3.367	36.47373829	ug N/g dry soil	0.30462	Low-Wetlands
10156.13.fastq.gz	NA	NA	NA	NA	NA	Wetlands	NA	NA	NA	NA	295	NA	NA	NA	7.24	11.3166144200627	Neutral	Low	freshwater wetland	soil	1.7453000000000001	0.42059999999999997	2.166	29.90403246	ug N/g dry soil	0.1914	Low-Wetlands
10156.15.fastq.gz	NA	NA	NA	NA	NA	Wetlands	NA	NA	NA	NA	352.7	NA	NA	NA	6.86	10.7643524699599	Neutral	Low	freshwater wetland	soil	1.8691	6.5699999999999995E-2	1.935	12.064390850000001	ug N/g dry soil	0.17976	Low-Wetlands
10156.152b.fastq.gz	NA	NA	NA	NA	NA	Wetlands	NA	NA	NA	NA	146	NA	NA	NA	7.44	21.1935244947625	Neutral	Intermediate	freshwater wetland	soil	Missing: Not provided	0.99419999999999997	2.003	3.5715361250000002	ug N/g dry soil	0.09451	Intermediate-Wetlands
10156.19.fastq.gz	NA	NA	NA	NA	NA	Wetlands	NA	NA	NA	NA	423.3	NA	NA	NA	5.82	10.1707670043415	Slightly Acidic	Low	freshwater wetland	soil	1.7221	3.5099999999999999E-2	1.757	87.511230260000005	ug N/g dry soil	0.17275	Low-Wetlands
10156.1B1.fastq.gz	NA	NA	NA	NA	NA	Wetlands	NA	NA	NA	NA	146	NA	NA	NA	7.34	34.5584583291944	Neutral	High	freshwater wetland	soil	2.2589000000000001	1.2204999999999999	3.479	4.0666524600000002	ug N/g dry soil	0.10067	High-Wetlands
10156.1B2.fastq.gz	NA	NA	NA	NA	NA	Wetlands	NA	NA	NA	NA	146	NA	NA	NA	6.71	18.4129399047123	Neutral	Low	freshwater wetland	soil	4.4236000000000004	0.17580000000000001	4.599	2.6307871129999998	ug N/g dry soil	0.24977	Low-Wetlands
10156.1B3.fastq.gz	NA	NA	NA	NA	NA	Wetlands	NA	NA	NA	NA	146	NA	NA	NA	7.38	28.809412861137	Neutral	Intermediate	freshwater wetland	soil	1.4119999999999999	1.0610999999999999	2.473	0.95312476400000001	ug N/g dry soil	0.08584	Intermediate-Wetlands
10156.1B4.fastq.gz	NA	NA	NA	NA	NA	Wetlands	NA	NA	NA	NA	146	NA	NA	NA	6.61	26.2756898649081	Neutral	Intermediate	freshwater wetland	soil	4.0039999999999996	0.10009999999999999	4.104	2.041005797	ug N/g dry soil	0.15619	Intermediate-Wetlands
10156.1B5.fastq.gz	NA	NA	NA	NA	NA	Wetlands	NA	NA	NA	NA	146	NA	NA	NA	7	19.4261773440815	Neutral	Low	freshwater wetland	soil	3.1878000000000002	0.47560000000000002	3.663	4.7473363500000003	ug N/g dry soil	0.18856	Low-Wetlands
10156.1C1.fastq.gz	NA	NA	NA	NA	NA	Wetlands	NA	NA	NA	NA	146	NA	NA	NA	6.65	14.9170389278877	Neutral	Low	freshwater wetland	soil	2.5329000000000002	0.2722	2.805	0.65564831400000001	ug N/g dry soil	0.18804	Low-Wetlands
10156.1C2.fastq.gz	NA	NA	NA	NA	NA	Wetlands	NA	NA	NA	NA	146	NA	NA	NA	6.98	14.0784852649259	Neutral	Low	freshwater wetland	soil	1.5508	0.29299999999999998	1.844	2.1281522339999999	ug N/g dry soil	0.13098	Low-Wetlands
10156.1C3.1.fastq.gz	NA	NA	NA	NA	NA	Wetlands	NA	NA	NA	NA	146	NA	NA	NA	6.77	13.7008976889285	Neutral	Low	freshwater wetland	soil	1.9169	0.23519999999999999	2.152	1.726619586	ug N/g dry soil	0.15707	Low-Wetlands
