#SampleID	env_feature	env_material	elevation_m	total_organic_carb_percent	total_inorganic_carbon_percent	total_carbon_percent	soil_total_inorganic_nitrogen	soil_nitrogen_units	total_nitrogen_percent	ph	ph_category	cn_ratio	cn_category
10156.1.fastq.gz	freshwater wetland	soil	316	4.3522999999999996	9.8599999999999993E-2	4.451	8.5383130119999997	ug N/g dry soil	0.37641	6.6	Neutral	11.8248718153078	Low
10156.10.fastq.gz	freshwater wetland	soil	148.9	0.80200000000000005	7.6700000000000004E-2	0.8787	57.987979099999997	ug N/g dry soil	0.12852	6.49	Slightly Acidic	6.83706816059757	Very Low
10156.11.fastq.gz	freshwater wetland	soil	145.6	2.7339000000000002	9.6600000000000005E-2	2.831	91.159881150000004	ug N/g dry soil	0.28005	6.82	Neutral	10.1089091233708	Low
10156.12.fastq.gz	freshwater wetland	soil	123.6	3.0787	0.28860000000000002	3.367	36.47373829	ug N/g dry soil	0.30462	7.18	Neutral	11.053115356838	Low
10156.13.fastq.gz	freshwater wetland	soil	295	1.7453000000000001	0.42059999999999997	2.166	29.90403246	ug N/g dry soil	0.1914	7.24	Neutral	11.3166144200627	Low
10156.14.fastq.gz	freshwater wetland	soil	111.8	0.2954	1.8599999999999998E-2	0.314	1.7985057929999999	ug N/g dry soil	0.07989	7.03	Neutral	3.93040430592064	Very Low
10156.15.fastq.gz	freshwater wetland	soil	352.7	1.8691	6.5699999999999995E-2	1.935	12.064390850000001	ug N/g dry soil	0.17976	6.86	Neutral	10.7643524699599	Low
10156.152b.fastq.gz	freshwater wetland	soil	146	Missing: Not provided	0.99419999999999997	2.003	3.5715361250000002	ug N/g dry soil	0.09451	7.44	Neutral	21.1935244947625	Intermediate
10156.16.fastq.gz	freshwater wetland	soil	111.8	1.9285000000000001	4.4299999999999999E-2	1.973	10.69860974	ug N/g dry soil	0.21929	5.98	Slightly Acidic	8.99721829540791	Very Low
10156.17.fastq.gz	freshwater wetland	soil	111.8	0.5806	0.38119999999999998	0.9618	1.380893591	ug N/g dry soil	0.1013	7.88	Slightly Basic	9.49457058242843	Very Low
10156.18.fastq.gz	freshwater wetland	soil	419.1	0.4652	2.1899999999999999E-2	0.4871	89.786984129999993	ug N/g dry soil	0.09252	5.33	Slightly Acidic	5.26480760916558	Very Low
10156.19.fastq.gz	freshwater wetland	soil	423.3	1.7221	3.5099999999999999E-2	1.757	87.511230260000005	ug N/g dry soil	0.17275	5.82	Slightly Acidic	10.1707670043415	Low
10156.1B1.fastq.gz	freshwater wetland	soil	146	2.2589000000000001	1.2204999999999999	3.479	4.0666524600000002	ug N/g dry soil	0.10067	7.34	Neutral	34.5584583291944	High
10156.1B2.fastq.gz	freshwater wetland	soil	146	4.4236000000000004	0.17580000000000001	4.599	2.6307871129999998	ug N/g dry soil	0.24977	6.71	Neutral	18.4129399047123	Low
10156.1B3.fastq.gz	freshwater wetland	soil	146	1.4119999999999999	1.0610999999999999	2.473	0.95312476400000001	ug N/g dry soil	0.08584	7.38	Neutral	28.809412861137	Intermediate
10156.1B4.fastq.gz	freshwater wetland	soil	146	4.0039999999999996	0.10009999999999999	4.104	2.041005797	ug N/g dry soil	0.15619	6.61	Neutral	26.2756898649081	Intermediate
10156.1B5.fastq.gz	freshwater wetland	soil	146	3.1878000000000002	0.47560000000000002	3.663	4.7473363500000003	ug N/g dry soil	0.18856	7	Neutral	19.4261773440815	Low
10156.1C1.fastq.gz	freshwater wetland	soil	146	2.5329000000000002	0.2722	2.805	0.65564831400000001	ug N/g dry soil	0.18804	6.65	Neutral	14.9170389278877	Low
