#SampleID	Sample Accession	Sample Alias	Ecozone	Region	Site	Environmental Source	Phylogenetic Marker	Target Gene Subfragment	Collection Date	sampling_depth_m	elevation_m	mean_annual_temp_C	total_carbon	total_nitrogen	ph	cn_ratio	ph_category
ERR1226373	ERS1040248	BP241B	IDFBC	British Columbia	BP	Forest Soil	16S rRNA	V1-V3	2010-06-22	0.1	1180	2.5	2.5	0.1	5.5	22.8	Slightly Acidic
ERR1226374	ERS1040249	BP242B	IDFBC	British Columbia	BP	Forest Soil	16S rRNA	V1-V3	2010-06-22	0.1	1180	2.5	2.5	0.1	5.5	22.8	Slightly Acidic
ERR1226375	ERS1040250	BP243B	IDFBC	British Columbia	BP	Forest Soil	16S rRNA	V1-V3	2010-06-22	0.1	1180	2.5	2.5	0.1	5.5	22.8	Slightly Acidic
ERR1226376	ERS1040251	BP244B	IDFBC	British Columbia	BP	Forest Soil	16S rRNA	V1-V3	2010-06-22	0.3	1180	2.5	41.8	1.5	5.8	27.7	Slightly Acidic
ERR1226377	ERS1040252	BP245B	IDFBC	British Columbia	BP	Forest Soil	16S rRNA	V1-V3	2010-06-22	0.3	1180	2.5	41.8	1.5	5.8	27.7	Slightly Acidic
ERR1226378	ERS1040253	BP246B	IDFBC	British Columbia	BP	Forest Soil	16S rRNA	V1-V3	2010-06-22	0.3	1180	2.5	41.8	1.5	5.8	27.7	Slightly Acidic
ERR1226379	ERS1040254	BP250B	IDFBC	British Columbia	BP	Forest Soil	16S rRNA	V1-V3	2010-06-22	0.3	1180	2.5	2	0.1	5.6	22.3	Slightly Acidic
ERR1226380	ERS1040255	BP251B	IDFBC	British Columbia	BP	Forest Soil	16S rRNA	V1-V3	2010-06-22	0.3	1180	2.5	2	0.1	5.6	22.3	Slightly Acidic
ERR1226381	ERS1040256	BP252B	IDFBC	British Columbia	BP	Forest Soil	16S rRNA	V1-V3	2010-06-22	0.3	1180	2.5	2	0.1	5.6	22.3	Slightly Acidic
ERR1226382	ERS1040257	BP256B	IDFBC	British Columbia	BP	Forest Soil	16S rRNA	V1-V3	2010-06-22	0.3	1180	2.5	2.6	0.1	5.7	23.6	Slightly Acidic
ERR1226383	ERS1040258	BP257B	IDFBC	British Columbia	BP	Forest Soil	16S rRNA	V1-V3	2010-06-22	0.3	1180	2.5	2.6	0.1	5.7	23.6	Slightly Acidic
ERR1226384	ERS1040259	BP258B	IDFBC	British Columbia	BP	Forest Soil	16S rRNA	V1-V3	2010-06-22	0.3	1180	2.5	2.6	0.1	5.7	23.6	Slightly Acidic
ERR1226385	ERS1040260	BP259B	IDFBC	British Columbia	BP	Forest Soil	16S rRNA	V1-V3	2010-06-22	0.1	1180	2.5	38.700000000000003	1.1000000000000001	5.6	35.2	Slightly Acidic
ERR1226386	ERS1040261	BP260B	IDFBC	British Columbia	BP	Forest Soil	16S rRNA	V1-V3	2010-06-22	0.1	1180	2.5	38.700000000000003	1.1000000000000001	5.6	35.2	Slightly Acidic
ERR1226387	ERS1040262	BP261B	IDFBC	British Columbia	BP	Forest Soil	16S rRNA	V1-V3	2010-06-22	0.1	1180	2.5	38.700000000000003	1.1000000000000001	5.6	35.2	Slightly Acidic
ERR1226388	ERS1040263	BP262B	IDFBC	British Columbia	BP	Forest Soil	16S rRNA	V1-V3	2010-06-22	0.3	1180	2.5	3	0.1	5.4	27.1	Slightly Acidic
ERR1226389	ERS1040264	BP263B	IDFBC	British Columbia	BP	Forest Soil	16S rRNA	V1-V3	2010-06-22	0.3	1180	2.5	3	0.1	5.4	27.1	Slightly Acidic
ERR1226390	ERS1040265	BP264B	IDFBC	British Columbia	BP	Forest Soil	16S rRNA	V1-V3	2010-06-22	0.3	1180	2.5	3	0.1	5.4	27.1	Slightly Acidic
ERR1226391	ERS1040266	BP265B	IDFBC	British Columbia	BP	Forest Soil	16S rRNA	V1-V3	2010-06-22	0.1	1180	2.5	43.2	0.9	5.1	50.9	Slightly Acidic
ERR1226392	ERS1040267	BP266B	IDFBC	British Columbia	BP	Forest Soil	16S rRNA	V1-V3	2010-06-22	0.1	1180	2.5	43.2	0.9	5.1	50.9	Slightly Acidic
ERR1226393	ERS1040268	BP267B	IDFBC	British Columbia	BP	Forest Soil	16S rRNA	V1-V3	2010-06-22	0.1	1180	2.5	43.2	0.9	5.1	50.9	Slightly Acidic
ERR1226394	ERS1040269	BP268B	IDFBC	British Columbia	BP	Forest Soil	16S rRNA	V1-V3	2010-06-22	0.3	1180	2.5	2.8	0.1	5.4	27.6	Slightly Acidic
ERR1226395	ERS1040270	BP269B	IDFBC	British Columbia	BP	Forest Soil	16S rRNA	V1-V3	2010-06-22	0.3	1180	2.5	2.8	0.1	5.4	27.6	Slightly Acidic
ERR1226396	ERS1040271	BP270B	IDFBC	British Columbia	BP	Forest Soil	16S rRNA	V1-V3	2010-06-22	0.3	1180	2.5	2.8	0.1	5.4	27.6	Slightly Acidic
ERR1226397	ERS1040272	BP271B	IDFBC	British Columbia	BP	Forest Soil	16S rRNA	V1-V3	2010-06-22	0.1	1180	2.5	38.6	1	5.3	37.5	Slightly Acidic
ERR1226398	ERS1040273	BP272B	IDFBC	British Columbia	BP	Forest Soil	16S rRNA	V1-V3	2010-06-22	0.1	1180	2.5	38.6	1	5.3	37.5	Slightly Acidic
ERR1226399	ERS1040274	BP273B	IDFBC	British Columbia	BP	Forest Soil	16S rRNA	V1-V3	2010-06-22	0.1	1180	2.5	38.6	1	5.3	37.5	Slightly Acidic
ERR1226400	ERS1040275	BP274B	IDFBC	British Columbia	BP	Forest Soil	16S rRNA	V1-V3	2010-06-22	0.3	1180	2.5	2.7	0.1	5.5	24.2	Slightly Acidic
ERR1226401	ERS1040276	BP275B	IDFBC	British Columbia	BP	Forest Soil	16S rRNA	V1-V3	2010-06-22	0.3	1180	2.5	2.7	0.1	5.5	24.2	Slightly Acidic
ERR1226402	ERS1040277	BP276B	IDFBC	British Columbia	BP	Forest Soil	16S rRNA	V1-V3	2010-06-22	0.3	1180	2.5	2.7	0.1	5.5	24.2	Slightly Acidic
ERR1226403	ERS1040278	BP277B	IDFBC	British Columbia	BP	Forest Soil	16S rRNA	V1-V3	2010-06-22	0.1	1180	2.5	33.4	0.9	5.2	38.4	Slightly Acidic
ERR1226404	ERS1040279	BP278B	IDFBC	British Columbia	BP	Forest Soil	16S rRNA	V1-V3	2010-06-22	0.1	1180	2.5	33.4	0.9	5.2	38.4	Slightly Acidic
ERR1226405	ERS1040280	BP279B	IDFBC	British Columbia	BP	Forest Soil	16S rRNA	V1-V3	2010-06-22	0.1	1180	2.5	33.4	0.9	5.2	38.4	Slightly Acidic
ERR1226406	ERS1040281	BP280B	IDFBC	British Columbia	BP	Forest Soil	16S rRNA	V1-V3	2010-06-22	0.3	1180	2.5	2.1	0.1	5.3	22.9	Slightly Acidic
ERR1226407	ERS1040282	BP281B	IDFBC	British Columbia	BP	Forest Soil	16S rRNA	V1-V3	2010-06-22	0.3	1180	2.5	2.1	0.1	5.3	22.9	Slightly Acidic
ERR1226408	ERS1040283	BP282B	IDFBC	British Columbia	BP	Forest Soil	16S rRNA	V1-V3	2010-06-22	0.3	1180	2.5	2.1	0.1	5.3	22.9	Slightly Acidic
ERR1226409	ERS1040284	BP286B	IDFBC	British Columbia	BP	Forest Soil	16S rRNA	V1-V3	2010-06-22	0.3	1180	2.5	2.1	0.1	5.7	23.3	Slightly Acidic
ERR1226410	ERS1040285	BP287B	IDFBC	British Columbia	BP	Forest Soil	16S rRNA	V1-V3	2010-06-22	0.3	1180	2.5	2.1	0.1	5.7	23.3	Slightly Acidic
ERR1226411	ERS1040286	BP288B	IDFBC	British Columbia	BP	Forest Soil	16S rRNA	V1-V3	2010-06-22	0.3	1180	2.5	2.1	0.1	5.7	23.3	Slightly Acidic
ERR1226412	ERS1040287	BP289B	IDFBC	British Columbia	BP	Forest Soil	16S rRNA	V1-V3	2010-06-22	0.1	1180	2.5	37.6	0.9	5.1	41.4	Slightly Acidic
ERR1226413	ERS1040288	BP290B	IDFBC	British Columbia	BP	Forest Soil	16S rRNA	V1-V3	2010-06-22	0.1	1180	2.5	37.6	0.9	5.1	41.4	Slightly Acidic
ERR1226414	ERS1040289	BP291B	IDFBC	British Columbia	BP	Forest Soil	16S rRNA	V1-V3	2010-06-22	0.1	1180	2.5	37.6	0.9	5.1	41.4	Slightly Acidic
ERR1226415	ERS1040290	BP292B	IDFBC	British Columbia	BP	Forest Soil	16S rRNA	V1-V3	2010-06-22	0.3	1180	2.5	3.6	0.2	5.7	23.7	Slightly Acidic
ERR1226416	ERS1040291	BP293B	IDFBC	British Columbia	BP	Forest Soil	16S rRNA	V1-V3	2010-06-22	0.3	1180	2.5	3.6	0.2	5.7	23.7	Slightly Acidic
ERR1226417	ERS1040292	BP294B	IDFBC	British Columbia	BP	Forest Soil	16S rRNA	V1-V3	2010-06-22	0.3	1180	2.5	3.6	0.2	5.7	23.7	Slightly Acidic
ERR1226418	ERS1040293	BP295B	IDFBC	British Columbia	BP	Forest Soil	16S rRNA	V1-V3	2010-06-22	0.1	1180	2.5	44.4	1.3	5.4	35.5	Slightly Acidic
ERR1226419	ERS1040294	BP296B	IDFBC	British Columbia	BP	Forest Soil	16S rRNA	V1-V3	2010-06-22	0.1	1180	2.5	44.4	1.3	5.4	35.5	Slightly Acidic
ERR1226420	ERS1040295	BP297B	IDFBC	British Columbia	BP	Forest Soil	16S rRNA	V1-V3	2010-06-22	0.1	1180	2.5	44.4	1.3	5.4	35.5	Slightly Acidic
ERR1226421	ERS1040296	BP298B	IDFBC	British Columbia	BP	Forest Soil	16S rRNA	V1-V3	2010-06-22	0.3	1180	2.5	2.4	0.1	5.6	24.2	Slightly Acidic
ERR1226422	ERS1040297	BP299B	IDFBC	British Columbia	BP	Forest Soil	16S rRNA	V1-V3	2010-06-22	0.3	1180	2.5	2.4	0.1	5.6	24.2	Slightly Acidic
ERR1226423	ERS1040298	BP300B	IDFBC	British Columbia	BP	Forest Soil	16S rRNA	V1-V3	2010-06-22	0.3	1180	2.5	2.4	0.1	5.6	24.2	Slightly Acidic
ERR1226424	ERS1040299	DC184B	IDFBC	British Columbia	DC	Forest Soil	16S rRNA	V1-V3	2010-06-25	0.3	1150	2.5	1.7	0.1	5.9	18.4	Slightly Acidic
